classificator_code,classificator_description,classificator_class
06111000-3," Землі житлової забудови (землі, які використовуються для розміщення житлової забудови (житлові будинки, гуртожитки, господарські будівлі та інше); землі, які використовуються для розміщення гаражного будівництва)",housing
06128000-5," Землі промисловості, транспорту, зв'язку, енергетики, оборони та іншого призначення",industry_infrastructure
06112000-0," Землі громадської забудови (землі, які використовуються для розміщення громадських будівель і споруд (готелів, офісних будівель, торговельних будівель, для публічних виступів, для музеїв та бібліотек, для навчальних та дослідних закладів, для лікарень та оздоровчих закладів), інших об'єктів загального користування)",public_development
06121000-6, Землі сільськогосподарського призначення,agriculture
06124000-7, Землі рекреаційного призначення,recreational
06123000-0, Землі оздоровчого призначення,recreational
