id,issuedDate,distributorid,status,validFrom,validThrough,type,planesValue,horizontalSize,verticalSize,area,CATUTTC,district
63826-17,2017-10-30,33549639,Чинний,2017-10-30,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.0,0.356,2.136,UA80000000000980793,Солом'янський
63984-17,2017-10-17,30403013,Чинний,2017-10-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.5,0.8,1.2,UA80000000000210193,Дарницький
63894-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
56155-17,2017-07-07,34709124,Чинний,2017-07-07,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,1.3,0.5,0.65,UA80000000000126643,Голосіївський
56237-17-П-1,2024-02-19,41018978,Чинний,2024-08-14,2029-08-13,Конструкція на даху будинку (будівлі),1.0,6.082,2.313,14.0677,UA80000000000980793,Солом'янський
63895-17,2018-02-05,36100735,Чинний,2018-02-05,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.0,1.2,7.2,UA80000000000336424,Деснянський
63785-17,2018-02-05,36100735,Чинний,2018-02-05,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.8,0.9,1.44,UA80000000000336424,Деснянський
64001-17,2018-02-13,40526112,Чинний,2018-02-13,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,12.065,1.3,15.6845,UA80000000000126643,Голосіївський
64004-17,2018-02-01,32154567,Чинний,2018-02-01,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.75,2.625,3.9375,UA80000000000980793,Солом'янський
63827-17,2017-10-17,33549639,Чинний,2017-10-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.1,1.3,4.03,UA80000000000875983,Святошинський
63900-17,2023-12-12,37245135,Чинний,2024-05-14,2029-05-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,20.0,1.1,22.0,UA80000000000551439,Оболонський
53597-15,2021-07-29,21677333,Чинний,2021-08-31,2026-08-30,Конструкція на даху будинку (будівлі),1.0,13.0,2.544,33.072,UA80000000000624772,Печерський
63632-17,2017-11-01,9807750,Чинний,2017-11-01,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.7,1.2,1.68,UA80000000000210193,Дарницький
63635-17,2024-04-17,34431547,Чинний,2024-08-14,2029-08-13,Конструкція на даху будинку (будівлі),1.0,12.0,2.0,24.0,UA80000000000336424,Деснянський
63636-17,2017-12-06,38559987,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.5,0.6,2.7,UA80000000000210193,Дарницький
63805-17,2017-11-01,38123764,Чинний,2017-11-01,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.8,2.42,9.196,UA80000000000210193,Дарницький
64056-17,2018-03-06,30263524,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.95,0.6,1.17,UA80000000000126643,Голосіївський
64061-17,2023-09-28,21677333,Чинний,2024-02-16,2029-02-15,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.65,0.9,4.185,UA80000000000875983,Святошинський
64078-17,2017-12-06,32799279,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,14.5,1.2,17.4,UA80000000000479391,Дніпровський
63972-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63907-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63908-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63909-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63910-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000126643,Голосіївський
63911-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63913-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63915-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63916-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
63939-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63917-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63919-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63920-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63921-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63925-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
55550-16,2024-06-28,36819100,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.0,0.6,4.8,UA80000000000875983,Святошинський
63946-17-П-1,2024-06-06,44356000,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.8,0.536,0.9648,UA80000000000479391,Дніпровський
63926-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63927-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63928-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
63929-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
64103-17,2024-04-24,23744453,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.5,1.35,2.025,UA80000000000980793,Солом'янський
63935-17,2023-09-20,40982829,Чинний,2024-02-16,2029-02-15,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,12.0,2.0,24.0,UA80000000000210193,Дарницький
63937-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
64046-17,2017-12-06,40220843,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.2,1.2,1.44,UA80000000000210193,Дарницький
64045-17,2017-12-06,40220843,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.0,0.352,1.76,UA80000000000210193,Дарницький
64021-17,2023-11-23,38321216,Чинний,2024-05-14,2029-05-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.308,1.05,2.4234,UA80000000000126643,Голосіївський
64024-17,2017-12-06,38321216,Чинний,2017-12-06,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.9,1.06,1.908,UA80000000000126643,Голосіївський
64127-17,2018-02-01,1287185,Чинний,2018-02-01,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.42,2.2,1.848,UA80000000000126643,Голосіївський
56427-17-П-1,2017-11-27,41850906,Чинний,2017-11-27,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,16.95,0.9,15.255,UA80000000001078669,Шевченківський
63440-17,2023-11-07,40720198,Чинний,2024-02-16,2029-02-15,"Конструкції на даху будинку (будівлі), споруді",1.0,9.6,3.74,35.904,UA80000000000875983,Святошинський
63563-17,2023-11-14,14282829,Чинний,2024-02-16,2029-02-15,"Кронштейн на фасаді будинку (будівлі), споруді",2.0,0.7,0.4,0.56,UA80000000000875983,Святошинський
56190-17,2017-11-27,14282829,Чинний,2017-11-27,2026-02-04,"Кронштейн на фасаді будинку (будівлі), споруді",2.0,0.7,0.4,0.56,UA80000000001078669,Шевченківський
64003-17,2018-03-06,32154567,Чинний,2018-03-06,2026-02-04,Конструкція на даху будинку (будівлі),1.0,6.63,1.496,9.9185,UA80000000000980793,Солом'янський
64070-17,2017-12-06,35679295,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.39,0.65,3.5035,UA80000000000875983,Святошинський
64071-17,2017-12-06,35679295,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,17.133,0.65,11.1365,UA80000000000875983,Святошинський
64068-17,2017-12-06,35679295,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,11.0,0.65,7.15,UA80000000000875983,Святошинський
55359-16,2017-11-27,19243047,Чинний,2017-11-27,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,4.32,1.63,7.0416,UA80000000000210193,Дарницький
56104-17,2017-11-27,32294897,Чинний,2017-11-27,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,2.63,0.78,2.0514,UA80000000001078669,Шевченківський
55734-16,2017-11-27,36003603,Чинний,2017-11-27,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,22.4,2.6,58.24,UA80000000000980793,Солом'янський
64106-17,2023-11-14,37240718,Чинний,2024-02-16,2029-02-15,"Банер, панно на фасаді будинку (будівлі) та/або будівельних риштуваннях",1.0,,,1199.04,UA80000000000624772,Печерський
64049-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000000624772,Печерський
55895-16,2017-11-27,35677565,Чинний,2017-11-27,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,6.0,1.5,9.0,UA80000000000980793,Солом'янський
55799-16,2017-07-07,30931228,Чинний,2017-07-07,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,1.1,1.65,1.815,UA80000000000980793,Солом'янський
64006-17,2018-03-06,37257915,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.81,2.43,UA80000000000980793,Солом'янський
63780-17,2017-12-06,32490244,Чинний,2017-12-06,2026-02-04,"Рекламна вивіска на будинку (будівлі), споруді",1.0,1.65,1.0,1.65,UA80000000000875983,Святошинський
64054-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (лайтпостер),2.0,1.2,1.8,4.32,UA80000000001078669,Шевченківський
65289-17,2024-10-25,32294897,Чинний,2025-02-10,2030-02-09,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.65,1.43,UA80000000000551439,Оболонський
65287-17,2018-03-26,32294897,Чинний,2018-03-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000001078669,Шевченківський
65137-17,2018-04-06,39837048,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.94,2.3,6.762,UA80000000000980793,Солом'янський
64872-17,2018-03-26,32294897,Чинний,2018-03-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000479391,Дніпровський
64884-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000479391,Дніпровський
64963-17,2018-04-06,40711293,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,14.79,0.5,7.395,UA80000000000479391,Дніпровський
64989-17,2018-03-26,14283958,Чинний,2018-03-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,18.8,0.5,9.4,UA80000000001078669,Шевченківський
65024-17,2024-02-12,31929492,Чинний,2024-05-14,2029-05-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,11.7,2.73,31.941,UA80000000000336424,Деснянський
65276-17,2018-03-06,31175958,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.545,2.0,19.09,UA80000000000551439,Оболонський
65283-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000479391,Дніпровський
65393-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000336424,Деснянський
65167-17,2018-05-22,14361575,Чинний,2018-05-22,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,0.324,1.296,UA80000000001078669,Шевченківський
64888-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000980793,Солом'янський
64949-17,2018-04-06,40127323,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.78,0.98,5.6644,UA80000000000875983,Святошинський
64948-17,2018-04-06,40127323,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.3,1.3,1.69,UA80000000000875983,Святошинський
65138-17,2018-02-26,35944734,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.15,0.825,1.7738,UA80000000000479391,Дніпровський
65114-17,2018-05-14,37935606,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.75,2.25,UA80000000001078669,Шевченківський
65123-17,2023-10-19,39326571,Чинний,2024-02-16,2029-02-15,"Банер, панно на фасаді будинку (будівлі)",1.0,11.5,40.0,460.0,UA80000000000551439,Оболонський
65379-17,2018-06-21,9807750,Чинний,2018-06-21,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.22,0.85,3.587,UA80000000000551439,Оболонський
65090-17,2018-03-14,21685166,Чинний,2018-03-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.315,0.7,2.3205,UA80000000001078669,Шевченківський
65158-17,2018-03-06,32294897,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000336424,Деснянський
65160-17,2018-03-06,32294897,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000336424,Деснянський
65163-17,2018-03-06,32294897,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000001078669,Шевченківський
65302-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000479391,Дніпровський
64938-17,2023-11-21,39326571,Чинний,2024-05-14,2029-05-13,"Банер, панно на фасаді будинку (будівлі)",1.0,18.0,26.0,468.0,UA80000000000719633,Подільський
64607-17,2018-02-01,32294897,Чинний,2018-02-01,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000479391,Дніпровський
65047-17,2018-04-16,21685166,Чинний,2018-04-16,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,0.62,2.48,UA80000000000126643,Голосіївський
65061-17,2023-10-11,40982829,Чинний,2024-02-16,2029-02-15,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,2.7,8.1,UA80000000000875983,Святошинський
64776-17,2018-02-20,30931228,Чинний,2018-02-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.7,0.6,4.02,UA80000000000980793,Солом'янський
65397-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000126643,Голосіївський
65428-18,2025-07-21,333581,Чинний,2025-08-28,2030-08-27,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.0,2.4,19.2,UA80000000000126643,Голосіївський
65272-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (брендування),6.0,1.2,1.8,12.96,UA80000000001078669,Шевченківський
65234-17,2018-03-06,36192428,Чинний,2018-03-06,2026-02-04,Конструкція на даху будинку (будівлі),1.0,10.6,2.15,22.79,UA80000000000336424,Деснянський
65230-17,2018-04-06,33695095,Чинний,2018-04-06,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.6,0.7,0.84,UA80000000000551439,Оболонський
65249-17,2018-05-14,34249943,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.0,1.2,6.0,UA80000000000336424,Деснянський
65243-17,2024-06-25,37797571,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.5,0.78,5.07,UA80000000001078669,Шевченківський
64395-17,2017-12-06,33496598,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.0,1.1,2.2,UA80000000000551439,Оболонський
64924-17,2018-02-01,19390819,Чинний,2018-02-01,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.7,0.7,0.98,UA80000000001078669,Шевченківський
64869-17,2018-02-20,23732912,Чинний,2018-02-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.4,1.3,1.82,UA80000000000875983,Святошинський
64960-17,2018-02-23,36644661,Чинний,2018-02-23,2026-02-04,"Банер, панно на фасаді будинку (будівлі) та/або будівельних риштуваннях",1.0,32.5,8.0,260.0,UA80000000000624772,Печерський
64882-17,2018-03-26,32294897,Чинний,2018-03-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.65,1.43,UA80000000000980793,Солом'янський
64880-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000551439,Оболонський
65147-17,2018-03-06,21568118,Чинний,2018-03-06,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.75,0.65,0.975,UA80000000001078669,Шевченківський
65308-17,2025-08-11,30525306,Чинний,2026-02-05,2031-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.8,10.2,28.56,UA80000000000875983,Святошинський
65264-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (брендування),6.0,1.2,1.8,12.96,UA80000000001078669,Шевченківський
65312-17,2018-07-11,35571027,Чинний,2018-07-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,8.0,2.8,22.4,UA80000000000126643,Голосіївський
65103-17,2018-03-14,36676944,Чинний,2018-03-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,15.2,1.1,16.72,UA80000000000980793,Солом'янський
64977-17,2024-04-22,23744453,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,0.914,0.8,0.7312,UA80000000000551439,Оболонський
64873-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000336424,Деснянський
64984-17,2018-04-06,32294897,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.63,0.78,2.0514,UA80000000001078669,Шевченківський
64910-17,2018-03-26,14360570,Чинний,2018-03-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.6,0.605,2.178,UA80000000000624772,Печерський
65165-17,2018-03-26,24597296,Чинний,2018-03-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.5,0.7,3.15,UA80000000001078669,Шевченківський
64657-17,2018-03-06,36417058,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.91,0.8,4.728,UA80000000000479391,Дніпровський
64868-17,2018-03-26,20074667,Чинний,2018-03-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,1.8,0.413,0.7434,UA80000000000719633,Подільський
64696-17,2024-04-25,23744453,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,0.914,0.8,0.7312,UA80000000000210193,Дарницький
65258-17,2023-10-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (брендування),6.0,1.2,1.8,12.96,UA80000000000624772,Печерський
65268-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (брендування),6.0,1.2,1.8,12.96,UA80000000001078669,Шевченківський
65271-17,2023-09-05,32386534,Чинний,2024-02-16,2029-02-15,Зупинковий комплекс та/або павільйон (брендування),6.0,1.2,1.8,12.96,UA80000000001078669,Шевченківський
64744-17,2018-03-06,32850366,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,10.0,3.6,36.0,UA80000000000126643,Голосіївський
64760-17,2024-06-18,35591059,Чинний,2024-11-12,2029-11-11,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.34,0.4,2.136,UA80000000000479391,Дніпровський
64822-17,2018-02-01,40982829,Чинний,2018-02-01,2026-02-04,Конструкція на даху будинку (будівлі),1.0,10.0,2.0,20.0,UA80000000000210193,Дарницький
65073-17,2018-05-14,9620081,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.5,0.55,1.925,UA80000000001078669,Шевченківський
64883-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000336424,Деснянський
65294-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000210193,Дарницький
65364-17,2018-07-11,40879243,Чинний,2018-07-11,2026-02-04,Конструкція на даху будинку (будівлі),1.0,21.425,3.95,84.6288,UA80000000000551439,Оболонський
65203-17,2018-04-06,39849797,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.85,2.55,UA80000000001078669,Шевченківський
65239-17,2018-06-21,37470510,Чинний,2018-06-21,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,1.0,3.0,UA80000000000336424,Деснянський
64972-17,2018-05-14,14311749,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,11.6,1.0,11.6,UA80000000000126643,Голосіївський
65000-17,2024-05-06,35442481,Чинний,2024-08-14,2029-08-13,Конструкція на даху будинку (будівлі),1.0,14.0,3.29,46.06,UA80000000000875983,Святошинський
64124-17,2017-11-01,24249572,Чинний,2017-11-01,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.23,0.506,UA80000000000126643,Голосіївський
64724-17,2024-09-19,34048360,Чинний,2025-02-10,2030-02-09,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.95,0.6,2.97,UA80000000000210193,Дарницький
65072-17-П-1,2018-04-16,43646746,Чинний,2018-04-16,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.0,0.65,1.95,UA80000000001078669,Шевченківський
64973-17,2018-05-14,14311749,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,7.3,1.0,7.3,UA80000000000126643,Голосіївський
64971-17,2018-05-14,14311749,Чинний,2018-05-14,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.5,1.08,4.86,UA80000000000126643,Голосіївський
64975-17,2024-04-24,23744453,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,0.85,0.85,0.7225,UA80000000000551439,Оболонський
64980-17,2024-04-25,23744453,Чинний,2024-08-14,2029-08-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.335,0.6,3.201,UA80000000000551439,Оболонський
65068-17,2018-04-06,38885132,Чинний,2018-04-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,0.6,2.8,1.68,UA80000000000210193,Дарницький
65394-17,2018-02-26,32294897,Чинний,2018-02-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000336424,Деснянський
65369-17,2018-05-22,32294897,Чинний,2018-05-22,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.2,0.85,1.87,UA80000000000126643,Голосіївський
64243-17,2018-03-26,32490690,Чинний,2018-03-26,2026-02-04,Конструкція на даху будинку (будівлі),1.0,16.5,1.8,29.7,UA80000000000551439,Оболонський
65129-17,2018-03-06,39506805,Чинний,2018-03-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.0,0.75,3.75,UA80000000000210193,Дарницький
64215-17,2017-12-06,40023678,Чинний,2017-12-06,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,6.5,1.5,9.75,UA80000000000336424,Деснянський
64907-17,2024-04-24,2224593,Чинний,2024-08-14,2029-08-13,Афішна (інформаційна) тумба,4.0,0.6,1.71,4.104,UA80000000000624772,Печерський
