id,issuedDate,distributorid,status,validFrom,validThrough,type,planesValue,horizontalSize,verticalSize,area,CATUTTC,district
66942-18,2018-07-26,19038293,Чинний,2018-07-26,2026-02-04,"Спеціальна рекламна конструкція, що розміщується під кутом до фасаду будинку (будівлі)",2.0,0.8,1.2,1.92,UA80000000000980793,Солом'янський
66948-18,2024-01-25,32049199,Чинний,2024-05-14,2029-05-13,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,12.0,1.3,15.6,UA80000000000551439,Оболонський
66952-18,2018-08-20,36853266,Чинний,2018-08-20,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,9.85,0.86,8.471,UA80000000000336424,Деснянський
66960-18,2018-09-11,38005403,Чинний,2018-09-11,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,2.25,0.5,1.125,UA80000000000479391,Дніпровський
66858-18,2018-07-26,39871094,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,5.63,1.55,8.7265,UA80000000001078669,Шевченківський
67042-18,2018-07-26,36291337,Чинний,2018-07-26,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.165,0.35,1.1078,UA80000000000551439,Оболонський
67068-18,2018-08-23,39871094,Чинний,2018-08-23,2026-02-04,Відеоекран на фасаді будинку,1.0,5.44,3.25,17.68,UA80000000001078669,Шевченківський
67063-18,2018-07-17,33988130,Чинний,2018-07-17,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,55.24,1.485,82.0314,UA80000000000980793,Солом'янський
66848-18,2025-08-07,38615606,Чинний,2026-02-05,2031-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,4.0,1.0,4.0,UA80000000000551439,Оболонський
66821-18,2018-06-21,36557951,Чинний,2018-06-21,2026-02-04,Спеціальна рекламна конструкція на фасаді будинку (будівлі),1.0,3.84,0.54,2.0736,UA80000000000210193,Дарницький
